Date,Close,High,Low,Open,Volume
2017-01-02,213.69,213.69,213.69,213.69,0
2017-01-03,216.99,220.33,210.96,214.86,5923254
2017-01-04,226.99,228.0,214.31,214.75,11213471
2017-01-05,226.75,227.48,221.95,226.42,5911695
2017-01-06,229.01,230.31,225.45,226.93,5527893
2017-01-09,231.28,231.92,228.0,228.97,3979484
2017-01-10,229.87,232.0,226.89,232.0,3659955
2017-01-11,229.73,229.98,226.68,229.07,3650825
2017-01-12,229.59,230.7,225.58,229.06,3790229
2017-01-13,237.75,237.85,229.59,230.0,6092960
2017-01-16,237.75,237.75,237.75,237.75,0
2017-01-17,235.58,239.96,234.37,236.7,4617522
2017-01-18,238.36,239.71,235.58,236.65,3768967
2017-01-19,243.76,248.68,240.75,247.25,7732303
2017-01-20,244.73,246.0,243.01,245.46,4204275
2017-01-23,248.92,250.8899,245.5,245.85,6262938
2017-01-24,254.61,254.8,249.65,250.0,4965451
2017-01-25,254.47,258.46,251.8,257.31,5146361
2017-01-26,252.51,255.74,250.75,254.29,3152123
2017-01-27,252.95,253.0,248.52,251.38,3166336
2017-01-30,250.63,255.2899,247.1,252.53,3801074
2017-01-31,251.93,255.89,247.7,249.24,4116104
2017-02-01,249.24,253.2,249.05,253.05,3958829
2017-02-02,251.55,252.42,247.71,248.34,2499775
2017-02-03,251.33,252.179,249.68,251.91,2186723
2017-02-06,257.77,257.82,250.63,251.0,3562517
2017-02-07,257.48,260.0,256.42,258.19,4244775
2017-02-08,262.08,263.36,256.2,257.35,3933014
2017-02-09,269.2,271.18,266.15,266.25,7820222
2017-02-10,269.23,270.95,266.11,269.79,3619739
2017-02-13,280.6,280.7899,270.51,270.74,7029605
2017-02-14,280.98,287.39,278.61,279.03,7345224
2017-02-15,279.76,282.24,276.44,280.0,4947856
2017-02-16,268.95,280.0,268.5,277.6,7077322
2017-02-17,272.23,272.89,264.15,265.8,6257149
2017-02-20,272.23,272.23,272.23,272.23,0
2017-02-21,277.39,281.4,274.01,275.45,5676747
2017-02-22,273.51,283.45,272.6,280.31,8754975
2017-02-23,255.99,264.66,255.56,264.0,14915249
2017-02-24,257.0,258.25,250.2,252.66,8171626
2017-02-27,246.23,248.36,242.01,248.17,11460810
2017-02-28,249.99,251.0,243.9,244.19,6078145
2017-03-01,250.02,254.85,249.11,254.18,4809488
2017-03-02,250.48,253.28,248.27,249.71,3351833
2017-03-03,251.57,251.9,249.0,250.74,2929234
2017-03-06,251.21,251.7,247.51,247.91,3355500
2017-03-07,248.59,253.89,248.32,251.92,3459470
2017-03-08,246.87,250.07,245.32,247.0,3728649
2017-03-09,244.9,248.66,243.0,247.63,3879293
2017-03-10,243.69,246.5,243.0,246.21,3066272
2017-03-13,246.17,246.85,242.781,244.39,3022625
2017-03-14,258.0,258.12,246.02,246.11,7598446
2017-03-15,255.73,261.0,254.27,257.0,5330806
2017-03-16,262.05,265.75,259.06,262.4,7132153
2017-03-17,261.5,265.33,261.2,264.0,6497496
2017-03-20,261.92,264.55,258.821,260.6,3614294
2017-03-21,250.68,264.8,250.24,262.83,6908554
2017-03-22,255.01,255.07,250.51,251.56,4059297
2017-03-23,254.78,257.672,253.3,255.39,3320245
2017-03-24,263.16,263.89,255.01,255.7,5647253
2017-03-27,270.22,270.57,259.75,260.6,6230795
2017-03-28,277.45,280.68,275.0,277.02,7987604
2017-03-29,277.38,279.6,275.54,278.34,3676157
2017-03-30,277.92,282.0,277.21,278.04,4148425
2017-03-31,278.3,279.68,276.3197,278.73,3294640
2017-04-03,298.52,299.0,284.58,286.9,13888618
2017-04-04,303.7,304.81,294.53,296.89,10134556
2017-04-05,295.0,304.88,294.2,302.04,7880938
2017-04-06,298.7,301.94,294.1,296.88,5520588
2017-04-07,302.54,302.69,297.15,297.5,4579613
2017-04-10,312.39,313.7299,308.71,309.15,7664458
2017-04-11,308.71,313.47,305.5,313.38,5724577
2017-04-12,296.84,308.4481,296.32,306.34,6050682
2017-04-13,304.0,307.39,295.3,296.7,9284634
2017-04-14,304.0,304.0,304.0,304.0,0
2017-04-17,301.44,304.0,298.68,302.7,4138735
2017-04-18,300.25,300.8399,297.9,299.7,3035698
2017-04-19,305.52,306.62,302.11,302.46,3898024
2017-04-20,302.51,309.15,300.23,306.51,6149352
2017-04-21,305.6,306.4,300.42,302.0,4509756
2017-04-24,308.03,310.55,306.0215,309.22,5083505
2017-04-25,313.79,313.98,305.86,308.0,6735659
2017-04-26,310.17,314.5,309.0,312.37,4695044
2017-04-27,308.63,313.09,307.5,311.69,3468569
2017-04-28,314.07,314.8,308.0,309.83,4505478
2017-05-01,322.83,327.25,314.81,314.88,8829565
2017-05-02,318.89,327.6599,316.5601,324.0,5382777
2017-05-03,311.02,321.53,310.45,317.67,7133365
2017-05-04,295.46,307.77,290.7601,307.435,14152008
2017-05-05,308.35,308.55,296.8,298.0,8177346
2017-05-08,307.19,313.79,305.82,310.9,7006471
2017-05-09,321.26,321.99,309.1,309.38,9676537
2017-05-10,325.22,325.5,318.12,321.56,5741607
2017-05-11,323.1,326.0,319.6,323.4,4753819
2017-05-12,324.81,327.0,321.53,325.48,4121612
2017-05-15,315.88,320.2,312.53,318.38,7622004
2017-05-16,317.01,320.06,315.14,317.59,4152484
2017-05-17,306.11,314.63,305.5,314.39,6711940
2017-05-18,313.06,313.94,305.31,307.0,5653801
2017-05-19,310.83,316.5,310.2,315.5,4687572
2017-05-22,310.35,314.37,306.8,312.8,4329178
2017-05-23,303.86,310.73,303.48,310.46,4318354
2017-05-24,310.22,311.0,305.4,306.51,5041692
2017-05-25,316.83,316.97,307.81,311.02,5013963
2017-05-26,325.14,325.49,316.31,317.28,7802199
2017-05-29,325.14,325.14,325.14,325.14,0
2017-05-30,335.1,336.28,325.76,326.0,7782916
2017-05-31,341.01,342.89,335.16,337.69,9963444
2017-06-01,340.37,344.88,337.29,344.0,7607996
2017-06-02,339.85,342.88,335.93,339.77,5590239
2017-06-05,347.32,348.44,334.21,338.5,6784368
2017-06-06,352.85,359.4929,339.97,344.7,11086798
2017-06-07,359.65,360.5,355.14,356.34,9397959
2017-06-08,370.0,371.9,360.22,363.75,9061496
2017-06-09,357.32,376.87,354.8,374.42,17261435
2017-06-12,359.01,364.5,350.62,357.99,10517660
2017-06-13,375.95,376.0,366.61,367.62,11807920
2017-06-14,380.66,384.25,376.31,381.085,12818429
2017-06-15,375.34,375.46,366.49,372.5,10426469
2017-06-16,371.4,378.01,370.1,377.975,6730973
2017-06-19,369.8,376.7,367.8,375.0,6549332
2017-06-20,372.24,378.88,369.73,376.67,7438701
2017-06-21,376.4,376.99,368.02,374.35,4923210
2017-06-22,382.61,385.0,373.57,377.99,7529778
2017-06-23,383.45,386.99,379.345,382.45,6445758
2017-06-26,377.49,386.95,373.1,386.69,6604099
2017-06-27,362.37,376.4,362.02,376.4,6996399
2017-06-28,371.24,371.74,362.52,366.68,6302463
2017-06-29,360.75,371.0,354.1,370.61,8221038
2017-06-30,361.61,366.7674,359.6187,363.71,5848521
2017-07-03,352.62,371.35,351.5,370.24,6305401
2017-07-04,352.62,352.62,352.62,352.62,0
2017-07-05,327.09,347.24,326.33,347.2,17046701
2017-07-06,308.83,320.7899,306.3,317.26,19324495
2017-07-07,313.22,317.0,307.38,313.5,14176915
2017-07-10,316.05,317.94,303.13,312.9,13820889
2017-07-11,327.22,327.28,314.3,316.0,11559402
2017-07-12,329.52,333.1,324.5,330.4,10346127
2017-07-13,323.41,331.6,319.97,330.11,8594466
2017-07-14,327.78,328.42,321.22,323.19,5625211
2017-07-17,319.57,327.1,313.45,325.54,9876912
2017-07-18,328.24,329.13,315.66,317.5,6373720
2017-07-19,325.26,331.65,323.2193,328.23,6357014
2017-07-20,329.92,330.22,324.2,326.9,5166188
2017-07-21,328.4,331.2575,325.8,329.46,4901606
2017-07-24,342.52,343.399,330.01,330.24,8637082
2017-07-25,339.6,345.6,334.15,345.0,6989197
2017-07-26,343.85,345.5,338.12,340.36,4820790
2017-07-27,334.46,347.5,326.29,346.0,8302405
2017-07-28,335.07,339.6,332.51,336.89,4880414
2017-07-31,323.47,341.49,321.04,335.5,8535136
2017-08-01,319.57,324.45,316.13,323.0,8303102
2017-08-02,325.89,327.12,311.22,318.94,13091462
2017-08-03,347.09,350.0,343.15,345.33,13535033
2017-08-04,356.91,357.27,343.3,347.0,9268909
2017-08-07,355.17,359.48,352.75,357.35,6324480
2017-08-08,365.22,368.58,357.4,357.53,7449837
2017-08-09,363.53,370.0,358.95,361.0,6892096
2017-08-10,355.4,366.6504,354.66,361.6,7092858
2017-08-11,357.87,361.26,353.62,356.97,4365783
2017-08-14,363.8,367.66,362.6,364.63,4519186
2017-08-15,362.33,365.49,359.37,365.2,3085088
2017-08-16,362.91,366.5,362.52,363.0,3413773
2017-08-17,351.92,363.3,351.59,361.21,5027660
2017-08-18,347.46,354.0,345.8,352.91,5408183
2017-08-21,337.86,345.82,331.85,345.82,6495424
2017-08-22,341.35,342.24,337.3725,341.13,4321966
2017-08-23,352.77,353.49,338.3041,338.99,4954504
2017-08-24,352.93,356.66,349.74,352.52,4584687
2017-08-25,348.05,355.69,347.3,354.24,3483956
2017-08-28,345.66,347.35,339.72,347.28,3763956
2017-08-29,347.36,349.05,338.75,339.48,4073674
2017-08-30,353.18,353.47,347.0,349.67,3412943
2017-08-31,355.9,358.44,352.82,353.55,4072795
2017-09-01,355.4,357.59,353.6902,356.12,3049546
2017-09-04,355.4,355.4,355.4,355.4,0
2017-09-05,349.59,355.49,345.89,353.8,3848382
2017-09-06,344.53,350.979,341.56,349.5,4091351
2017-09-07,350.61,352.48,343.45,345.98,4239213
2017-09-08,343.4,349.78,342.3,348.99,3263508
2017-09-11,363.69,363.71,350.0,351.35,7667055
2017-09-12,362.75,368.76,360.4,364.49,5972907
2017-09-13,366.23,368.07,359.59,363.82,4185231
2017-09-14,377.64,377.96,362.63,364.33,7202524
2017-09-15,379.81,380.0,372.7,374.51,5420496
2017-09-18,385.0,389.61,377.68,380.25,7187980
2017-09-19,375.1,382.39,373.57,380.0,6451886
2017-09-20,373.91,378.249,371.07,373.0,4919052
2017-09-21,366.48,376.83,364.51,374.9,4618190
2017-09-22,351.09,369.8999,350.88,366.49,8159418
2017-09-25,344.99,357.469,342.88,353.15,7605946
2017-09-26,345.25,351.24,340.9,350.93,7156274
2017-09-27,340.97,351.489,340.5,349.9,6060330
2017-09-28,339.6,342.75,335.4,339.88,5319617
2017-09-29,341.1,344.68,338.601,341.86,5107082
2017-10-02,341.53,343.7,335.51,342.52,5286774
2017-10-03,348.14,348.55,331.28,335.9,10153596
2017-10-04,355.01,358.62,349.6,351.25,8163543
2017-10-05,355.33,357.435,351.35,356.0,4171674
2017-10-06,356.88,360.0992,352.25,353.1,4297474
2017-10-09,342.94,351.75,342.67,349.65,7493654
2017-10-10,355.59,355.63,345.5305,346.8,6978495
2017-10-11,354.6,357.6,351.15,353.89,4500831
2017-10-12,355.68,359.78,352.64,352.95,4087048
2017-10-13,355.57,358.49,353.68,356.98,3540533
2017-10-16,350.6,354.48,347.16,353.76,5375486
2017-10-17,355.75,356.22,350.07,350.91,3293345
2017-10-18,359.65,363.0,354.13,355.97,4939074
2017-10-19,351.81,357.1465,348.2,355.56,5061843
2017-10-20,345.1,354.55,344.34,352.69,4930395
2017-10-23,337.02,349.95,336.25,349.88,5747346
2017-10-24,337.34,342.8,336.16,338.8,4491672
2017-10-25,325.84,337.5,323.56,336.7,8594073
2017-10-26,326.17,330.23,323.2,327.78,5023500
2017-10-27,320.87,324.59,316.66,319.75,6979704
2017-10-30,320.08,323.78,317.25,319.18,4254378
2017-10-31,331.53,331.95,320.18,320.23,5672347
2017-11-01,321.08,332.6089,320.26,332.25,8457336
2017-11-02,299.26,308.69,292.63,300.13,19791416
2017-11-03,306.09,306.25,295.13,299.5,8893974
2017-11-06,302.78,307.5,299.01,307.0,6486009
2017-11-07,306.05,306.5,300.03,301.02,5294274
2017-11-08,304.39,306.89,301.3001,305.5,4725271
2017-11-09,302.99,304.46,296.3,302.5,5447147
2017-11-10,302.99,308.36,301.85,302.5,4625429
2017-11-13,315.4,316.8,299.11,300.13,7584944
2017-11-14,308.7,316.35,306.9,315.0,5676076
2017-11-15,311.3,312.49,301.5,306.01,5978665
2017-11-16,312.5,318.14,311.3,313.99,5822073
2017-11-17,315.05,326.67,313.15,325.67,13735139
2017-11-20,308.74,315.5,304.75,313.79,8247650
2017-11-21,317.81,318.23,308.71,310.86,7261273
2017-11-22,312.6,317.42,311.84,316.77,4917636
2017-11-23,312.6,312.6,312.6,312.6,0
2017-11-24,315.55,316.41,311.0,313.79,3244065
2017-11-27,316.81,317.34,309.51,313.25,4555894
2017-11-28,317.55,320.0,313.92,316.36,4949491
2017-11-29,307.54,318.0,301.23,317.3,8767398
2017-11-30,308.85,310.7,304.54,308.56,4351587
2017-12-01,306.53,310.32,305.05,305.44,4292868
2017-12-04,305.2,308.265,300.61,306.5,5835140
2017-12-05,303.7,308.0,301.0,302.0,4646520
2017-12-06,313.26,313.39,300.0,300.1,7195341
2017-12-07,311.24,318.6341,311.05,312.0,4780597
2017-12-08,315.13,316.98,311.26,314.6,3468458
2017-12-11,328.91,329.01,313.75,314.63,7937981
2017-12-12,341.03,341.44,330.03,330.45,8733199
2017-12-13,339.03,344.22,336.5,340.93,6221461
2017-12-14,337.89,347.44,336.9,341.01,5799916
2017-12-15,343.45,343.9,335.76,342.04,6933199
2017-12-18,338.87,346.73,337.58,344.9,5476166
2017-12-19,331.1,341.4925,330.3,340.26,6824971
2017-12-20,328.98,333.1,325.04,332.69,5953800
2017-12-21,331.66,333.74,327.21,329.59,4385222
2017-12-22,325.2,330.9214,324.82,329.51,4215807
2017-12-25,325.2,325.2,325.2,325.2,0
2017-12-26,317.29,323.94,316.58,323.83,4378413
2017-12-27,311.64,317.68,310.75,316.0,4712111
2017-12-28,315.36,315.82,309.54,311.75,4316347
2017-12-29,311.35,316.41,310.0,316.18,3777155
2018-01-01,311.35,311.35,311.35,311.35,0
2018-01-02,320.53,322.1099,311.0,312.0,4352241
2018-01-03,317.25,325.25,315.55,321.0,4521527
2018-01-04,314.62,318.55,305.68,312.87,9946304
2018-01-05,316.58,317.24,312.0,316.62,4591180
2018-01-08,336.41,337.0199,315.5,316.0,9859435
2018-01-09,333.69,338.8,327.405,335.16,7146631
2018-01-10,334.8,337.0,330.0,332.2,4309926
2018-01-11,337.95,344.8099,333.26,335.24,6645484
2018-01-12,336.22,340.41,333.67,338.63,4825059
2018-01-15,336.22,336.22,336.22,336.22,0
2018-01-16,340.06,345.0,334.8,337.54,6474251
2018-01-17,347.16,349.0,339.75,340.47,7103505
2018-01-18,344.57,352.3,343.74,345.67,5685845
2018-01-19,350.02,350.5899,342.6,345.0,4888303
2018-01-22,351.56,357.83,349.2,349.4,6210360
2018-01-23,352.79,360.5,351.0,360.0,5465414
2018-01-24,345.89,354.75,343.52,354.58,5287478
2018-01-25,337.64,349.2,336.4,348.27,6740303
2018-01-26,342.85,344.0,335.71,341.5,4539356
2018-01-29,349.53,350.85,338.28,339.85,4747149
2018-01-30,345.82,348.27,342.17,345.14,4717700
2018-01-31,354.31,356.19,345.19,347.51,6214069
2018-02-01,349.25,359.66,348.63,351.0,4197687
2018-02-02,343.75,351.95,340.51,348.44,3704836
2018-02-05,333.13,344.47,333.0,337.97,4464147
2018-02-06,333.97,336.22,323.5,325.21,5088438
2018-02-07,345.0,346.0,335.66,338.99,6969239
2018-02-08,315.23,348.62,314.6,343.31,10314573
2018-02-09,310.42,320.9845,294.76,319.93,12933721
2018-02-12,315.73,318.08,306.25,316.13,6227822
2018-02-13,323.66,324.19,312.5105,315.02,4560231
2018-02-14,322.31,326.17,318.52,320.84,3950743
2018-02-15,334.065,334.12,322.4,324.5,5912917
2018-02-16,335.49,343.12,331.64,332.5,5642637
2018-02-19,335.49,335.49,335.49,335.49,0
2018-02-20,334.77,340.84,331.5,334.47,4009435
2018-02-21,333.3,339.6929,333.17,336.03,3219649
2018-02-22,346.17,347.44,334.7501,335.53,6969808
2018-02-23,352.05,354.99,347.1,347.83,5817387
2018-02-26,357.42,359.0,352.355,353.5,4339985
2018-02-27,350.99,359.99,350.01,356.25,4797419
2018-02-28,343.06,355.24,342.22,352.57,6069658
2018-03-01,330.93,348.67,330.07,345.01,6885601
2018-03-02,335.12,335.22,322.97,326.98,5092829
2018-03-05,333.35,337.75,329.2929,332.39,3823769
2018-03-06,328.2,336.37,327.03,333.75,4285744
2018-03-07,332.3,332.5,321.74,325.44,5007297
2018-03-08,329.1,333.3,326.274,332.86,3566244
2018-03-09,327.17,328.49,322.37,324.1,5506764
2018-03-12,345.51,347.21,326.5,328.61,8264035
2018-03-13,341.84,345.12,336.2635,344.92,5965805
2018-03-14,326.63,339.81,323.93,336.76,7967370
2018-03-15,325.6,332.85,321.1,329.38,6564801
2018-03-16,321.35,327.4,319.07,325.96,6117279
2018-03-19,313.56,320.75,309.67,316.5,7484294
2018-03-20,310.55,316.25,308.76,314.87,4764293
2018-03-21,316.53,322.44,310.19,310.25,5958411
2018-03-22,309.1,318.82,308.18,313.89,4939771
2018-03-23,301.54,311.61,300.45,311.25,6654899
2018-03-26,304.18,307.59,291.36,307.34,8375175
2018-03-27,279.18,304.27,277.18,304.0,13872029
2018-03-28,257.78,268.68,252.1,264.58,21001437
2018-03-29,266.13,270.9599,248.21,256.49,15170749
2018-03-30,266.13,266.13,266.13,266.13,0
2018-04-02,252.48,260.3318,244.5901,256.26,16113968
2018-04-03,267.53,273.35,254.49,269.82,18844384
2018-04-04,286.94,288.37,252.0,252.78,19896746
2018-04-05,305.72,306.26,288.2,289.34,19121101
2018-04-06,299.3,309.28,295.5,301.0,13520286
2018-04-09,289.66,309.5,289.21,300.37,10249805
2018-04-10,304.7,307.1,293.68,298.97,11024259
2018-04-11,300.93,308.98,299.66,300.7403,7482945
2018-04-12,294.08,303.95,293.68,302.32,7608769
2018-04-13,300.34,303.9499,295.98,303.6,7327223
2018-04-16,291.21,299.66,289.01,299.0,6338488
2018-04-17,287.69,292.17,282.51,288.87,7000023
2018-04-18,293.35,300.24,288.16,291.08,6557700
2018-04-19,300.08,301.01,288.55,291.08,6090599
2018-04-20,290.24,299.98,289.75,295.17,5627928
2018-04-23,283.37,291.62,282.33,291.29,4893378
2018-04-24,283.46,287.09,278.46,285.0,5685308
2018-04-25,280.69,285.16,277.25,283.5,4013574
2018-04-26,285.48,285.79,276.5,278.75,4356013
2018-04-27,294.075,294.47,283.83,285.37,4364626
2018-04-30,293.9,298.73,292.5,293.61,4228172
2018-05-01,299.92,300.82,293.22,293.51,4625603
2018-05-02,301.15,306.85,297.7844,298.57,8970370
2018-05-03,284.45,288.04,275.23,278.79,17352130
2018-05-04,294.09,296.86,279.52,283.0,8569354
2018-05-07,302.77,305.9588,295.17,297.5,8678224
2018-05-08,301.97,307.75,299.0,300.7953,5930000
2018-05-09,306.85,307.01,300.05,300.41,5727365
2018-05-10,305.02,312.99,304.1119,307.4997,5651561
2018-05-11,301.06,308.88,299.08,307.7,4679649
2018-05-14,291.97,304.94,291.62,303.32,7286804
2018-05-15,284.18,286.96,280.5,285.01,9519173
2018-05-16,286.48,288.81,281.56,283.83,5674019
2018-05-17,284.54,289.1873,283.97,285.9,4420612
2018-05-18,276.82,284.65,274.0,284.65,7251887
